"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Seated Leg Curl (Machine)",,"",0,"warmup",39,10,,0,6
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Seated Leg Curl (Machine)",,"",1,"warmup",51,6,,0,6
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Seated Leg Curl (Machine)",,"",2,"normal",78,12,,0,9
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Seated Leg Curl (Machine)",,"",3,"failure",78,10,,0,9.5
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Squat (Barbell)",,"",0,"warmup",37.5,10,,0,6
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Squat (Barbell)",,"",1,"warmup",45,6,,0,6
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Squat (Barbell)",,"",2,"normal",77.5,10,,0,9
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Squat (Barbell)",,"",3,"normal",77.5,9,,0,9.5
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Squat (Barbell)",,"",4,"failure",77.5,8,,0,9.5
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Back Extension (Weighted Hyperextension)",,"All sets, lower big hole pressed against forehead",0,"warmup",,10,,0,6
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Back Extension (Weighted Hyperextension)",,"All sets, lower big hole pressed against forehead",1,"warmup",10,6,,0,6
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Back Extension (Weighted Hyperextension)",,"All sets, lower big hole pressed against forehead",2,"normal",20,10,,0,8.5
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Back Extension (Weighted Hyperextension)",,"All sets, lower big hole pressed against forehead",3,"normal",20,10,,0,9
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Back Extension (Weighted Hyperextension)",,"All sets, lower big hole pressed against forehead",4,"failure",20,10,,0,9.5
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Leg Extension (Machine)",,"",0,"warmup",54,10,,0,6
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Leg Extension (Machine)",,"",1,"normal",108,12,,0,7.5
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Leg Extension (Machine)",,"",2,"normal",108,12,,0,8.5
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Leg Extension (Machine)",,"",3,"failure",108,11,,0,9.5
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Calf Press (Machine)",,"Lower: all sets 175 next time\nLegs: 170",0,"warmup",88,10,,0,6
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Calf Press (Machine)",,"Lower: all sets 175 next time\nLegs: 170",1,"normal",175,10,,0,7.5
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Calf Press (Machine)",,"Lower: all sets 175 next time\nLegs: 170",2,"normal",175,10,,0,8
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Calf Press (Machine)",,"Lower: all sets 175 next time\nLegs: 170",3,"failure",170,10,,0,8
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Cable Crunch",,"Last set form could‘ve been better. Next time same weight focus on form",0,"warmup",20,10,,0,6
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Cable Crunch",,"Last set form could‘ve been better. Next time same weight focus on form",1,"normal",40,12,,0,8
"Lower // Ramp // Strength // 1","15 Sep 2025, 07:48","15 Sep 2025, 09:13","","Cable Crunch",,"Last set form could‘ve been better. Next time same weight focus on form",2,"failure",40,12,,0,10
"Push // Ramp // Hypertrophy // 1","13 Sep 2025, 12:56","13 Sep 2025, 14:36","","Chest Press (Machine)",,"",0,"warmup",35,10,,0,6
"Push // Ramp // Hypertrophy // 1","13 Sep 2025, 12:56","13 Sep 2025, 14:36","","Chest Press (Machine)",,"",1,"warmup",45,6,,0,6
