"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2024-11-28 17:36:08";"B";"2134";"Bent Over Row (Barbell)";"1";"10.0";"16";"";"";"";"";""
"1";"2024-11-28 17:36:08";"B";"2134";"Bent Over Row (Barbell)";"2";"10.0";"17";"";"";"";"";""
"1";"2024-11-28 17:36:08";"B";"2134";"Bent Over Row (Barbell)";"3";"10.0";"13";"";"";"";"";""
"1";"2024-11-28 17:36:08";"B";"2134";"Bicep Curl (Barbell)";"1";"10.0";"10";"";"";"";"";""
"1";"2024-11-28 17:36:08";"B";"2134";"Bicep Curl (Barbell)";"2";"10.0";"8";"";"";"";"";""
"1";"2024-11-28 17:36:08";"B";"2134";"Bicep Curl (Barbell)";"3";"10.0";"13";"";"";"";"";""
"1";"2024-11-28 17:36:08";"B";"2134";"Lat Pulldown (Machine)";"1";"15.0";"15";"";"";"";"";""
"1";"2024-11-28 17:36:08";"B";"2134";"Lat Pulldown (Machine)";"2";"15.0";"13";"";"";"";"";""
"1";"2024-11-28 17:36:08";"B";"2134";"Lat Pulldown (Machine)";"3";"15.0";"10";"";"";"";"";""
"1";"2024-11-28 17:36:08";"B";"2134";"Lat Pulldown (Machine)";"4";"10.0";"20";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Leg Press";"1";"0.0";"10";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Leg Press";"2";"0.0";"10";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Leg Press";"3";"0.0";"10";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Leg Press";"4";"";"";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Chest Press (Machine)";"1";"11.0";"10";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Chest Press (Machine)";"2";"11.0";"8";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Chest Press (Machine)";"3";"11.0";"10";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Leg Extension (Machine)";"1";"0.0";"10";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Leg Extension (Machine)";"2";"5.0";"5";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Leg Extension (Machine)";"3";"5.0";"5";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Seated Row (Cable)";"1";"11.0";"10";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Seated Row (Cable)";"2";"11.0";"10";"";"";"";"";""
"2";"2025-08-19 13:47:15";"Midday Workout";"1834";"Seated Row (Cable)";"3";"11.0";"10";"";"";"";"";""
"3";"2025-08-22 12:02:37";"Midday Workout";"2474";"Lat Pulldown (Machine)";"1";"15.0";"7";"";"";"";"";""
"3";"2025-08-22 12:02:37";"Midday Workout";"2474";"Lat Pulldown (Machine)";"2";"10.0";"10";"";"";"";"";""
